attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
3,2,0.04,spawn,0.03195,0.03085,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0727,0.2192,0.0031,8.6886
4,2,0.04,spawn,0.03195,0.03084,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.137,0.2171,-0.0295,76.117
5,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0035,0.2536,0.0008,88.6872
6,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1346,0.2142,-0.0246,78.3628
7,2,0.04,spawn,0.03195,0.03084,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1054,0.1984,0.0028,17.58
8,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0218,0.2247,0.0011,88.0024
9,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1413,0.2185,-0.0309,79.0709
10,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1821,0.2069,-0.0728,71.9903
11,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0518,0.2353,0.0027,63.5207
12,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0467,0.2466,0.0009,88.453
13,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0565,0.2465,0.0009,88.4818
14,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0158,0.2435,-0.0005,89.4918
15,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0607,0.214,0.0011,87.8725
0,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0165,0.227,0.0192,80.3003
1,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0412,0.2112,0.0017,87.1801
2,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1469,0.2202,-0.0382,31.59
3,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0694,0.2142,0.0038,14.1995
4,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1338,0.2124,-0.0255,73.58
5,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0001,0.2495,0.0018,87.0387
6,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.131,0.2094,-0.0206,75.7608
7,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1023,0.1933,0.0039,6.848
8,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0186,0.2204,0.002,86.2271
9,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1376,0.2139,-0.0269,76.7908
10,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1787,0.2027,-0.0689,66.1062
11,3,0.06,spawn,0.03799,0.03617,0.01159,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0483,0.2304,0.0034,62.6177
12,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0432,0.2424,0.0018,86.7601
13,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.235,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0531,0.2423,0.0018,86.7939
14,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.235,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0124,0.2398,0.0007,89.244
15,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0576,0.2097,0.0021,86.0744
0,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0081,0.2242,0.0109,78.4426
1,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0497,0.2059,0.002,86.4594
2,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1549,0.2162,-0.0463,3.5587
3,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0772,0.2112,0.0036,23.0393
4,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1417,0.2087,-0.0335,69.2074
5,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0092,0.2441,0.002,86.3079
6,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1387,0.2058,-0.0286,78.3512
7,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1097,0.1902,-0.0011,29.2057
8,4,0.08,spawn,0.03879,0.03659,0.01288,0.03879,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0272,0.2154,0.0022,85.4276
9,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1454,0.2101,-0.035,79.1257
10,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1863,0.1981,-0.0767,71.7056
11,4,0.08,spawn,0.03879,0.03659,0.01288,0.03879,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0566,0.227,0.0033,50.9825
12,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0523,0.2371,0.0021,86.0077
13,4,0.08,spawn,0.03879,0.03658,0.01288,0.03879,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0622,0.237,0.0021,86.0439
14,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0221,0.233,0.0012,88.6165
15,4,0.08,spawn,0.03879,0.03659,0.01288,0.03879,0.003,-2.71,1.63,0.343,0.0042,0.237,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.066,0.2048,0.0022,85.2597
0,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0067,0.2244,0.0097,77.1087
1,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0514,0.2056,0.0024,85.6538
2,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1561,0.2162,-0.0476,11.2467
3,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0785,0.2114,0.0036,28.9875
4,5,0.1,spawn,0.03846,0.03685,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.143,0.2087,-0.0347,66.9435
5,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0109,0.2438,0.0024,85.4942
6,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1397,0.2058,-0.0297,78.9671
7,5,0.1,spawn,0.03846,0.03685,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1108,0.1903,-0.0022,34.4415
8,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0288,0.2152,0.0025,84.5691
9,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1464,0.2101,-0.0361,79.7258
10,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1874,0.198,-0.0779,72.5626
11,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0579,0.2271,0.0034,46.2772
12,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.054,0.2369,0.0024,85.1799
13,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0639,0.2368,0.0024,85.2176
14,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0241,0.2325,0.0018,87.9027
15,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0675,0.2046,0.0026,84.3936
0,6,0.12,spawn,0.03615,0.03555,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0036,0.228,0.0065,76.6412
1,6,0.12,spawn,0.03615,0.03554,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0544,0.2084,0.0024,85.5677
2,6,0.12,spawn,0.03615,0.03555,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1591,0.2193,-0.0507,26.6213
3,6,0.12,spawn,0.03615,0.03555,0.00658,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0813,0.2149,0.0034,41.1494
4,6,0.12,spawn,0.03615,0.03554,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1459,0.2119,-0.0377,65.0032
5,6,0.12,spawn,0.03615,0.03555,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0143,0.2465,0.0024,85.4086
6,6,0.12,spawn,0.03615,0.03554,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1425,0.2091,-0.0327,80.1278
7,6,0.12,spawn,0.03615,0.03554,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1135,0.1938,-0.0051,45.3388
8,6,0.12,spawn,0.03616,0.03555,0.00659,0.03616,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0319,0.2181,0.0025,84.4773
9,6,0.12,spawn,0.03615,0.03555,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1493,0.2133,-0.0392,80.7885
10,6,0.12,spawn,0.03615,0.03554,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1902,0.2008,-0.0808,74.7052
11,6,0.12,spawn,0.03616,0.03555,0.00659,0.03616,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0609,0.2306,0.0032,38.5257
12,6,0.12,spawn,0.03615,0.03555,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0573,0.2396,0.0024,85.0917
13,6,0.12,spawn,0.03615,0.03555,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0672,0.2395,0.0024,85.13
14,6,0.12,spawn,0.03615,0.03555,0.00659,0.03615,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0276,0.2347,0.0018,87.7917
15,6,0.12,spawn,0.03616,0.03555,0.00659,0.03616,0.0042,-1.85,1.56,0.3396,0.005,0.344,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0705,0.2075,0.0025,84.2986
0,7,0.14,spawn,0.03241,0.03241,-1e-05,0.03241,0.0048,-1.49,1.61,0.3381,0.0054,0.395,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.004,0.2334,0.0071,76.0702
1,7,0.14,spawn,0.0324,0.0324,-1e-05,0.0324,0.0048,-1.49,1.61,0.3381,0.0054,0.395,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0542,0.2139,0.0027,85.048
2,7,0.14,spawn,0.0324,0.0324,-1e-05,0.0324,0.0048,-1.49,1.61,0.3381,0.0054,0.395,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1586,0.2248,-0.05,23.1588
3,7,0.14,spawn,0.03241,0.03241,-1e-05,0.03241,0.0048,-1.49,1.61,0.3381,0.0054,0.395,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0809,0.2204,0.0036,38.3761
4,7,0.14,spawn,0.0324,0.0324,-1e-05,0.0324,0.0048,-1.48,1.61,0.3381,0.0054,0.395,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1455,0.2175,-0.0371,64.6612
5,7,0.14,spawn,0.03241,0.03241,-1e-05,0.03241,0.0048,-1.49,1.61,0.3381,0.0054,0.395,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.014,0.2521,0.0027,84.8866
6,7,0.14,spawn,0.0324,0.0324,-1e-05,0.0324,0.0048,-1.49,1.61,0.3381,0.0054,0.395,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1419,0.2146,-0.0322,80.1396
7,7,0.14,spawn,0.0324,0.0324,-0.0,0.0324,0.0048,-1.49,1.61,0.3381,0.0054,0.395,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1131,0.1993,-0.0045,42.8934
